name,original_party,account_link,twitter_account,party,block
אבו שחאדה סמי, הרשימה המשותפת,https://twitter.com/ShahadehAbou,ShahadehAbou,Joint_List,Arabs
אבוטבול משה, ש”ס,https://twitter.com/Abutbulm,Abutbulm,Shas,Ultra-orthodox
אבידר אלי, ישראל ביתנו,http://twitter.com/avidareli,avidareli,Israel_Beiteinu,Right
אדלשטיין יולי יואל, הליכוד,http://twitter.com/YuliEdelstein,YuliEdelstein,Likud,Right
אזולאי ינון, ש”ס,,,Shas,Ultra-orthodox
אייכלר ישראל, אגודת ישראל,https://twitter.com/yisraeleichler,yisraeleichler,Yahadut_hatora,Ultra-orthodox
אלהרר קארין, יש עתיד-תל”ם,https://twitter.com/kelharrar,kelharrar,Yesh_Atid,Center_Left
אלחרומי סעיד, רע”מ - רשימת האיחוד הערבי,https://twitter.com/saeedalkhrumi,saeedalkhrumi,Joint_List,Arabs
אמסלם דוד, הליכוד,https://twitter.com/dudiamsalem,dudiamsalem,Likud,Right
אקוניס אופיר, הליכוד,https://twitter.com/OfirAkunis,OfirAkunis,Likud,Right
ארבל משה, ש”ס,,,Shas,Ultra-orthodox
אשכנזי גבי, כחול לבן,https://twitter.com/Gabi_Ashkenazi,Gabi_Ashkenazi,Blue_and_White,Center_Left
אשר יעקב, דגל התורה,https://twitter.com/pikeaccount,pikeaccount,Yahadut_hatora,Ultra-orthodox
בוסו אוריאל, ש”ס,https://twitter.com/BussoUriel,BussoUriel,Shas,Ultra-orthodox
ביטן דוד, הליכוד,https://twitter.com/davidbitan,davidbitan,Likud,Right
בליאק ולדימיר, יש עתיד-תל”ם,https://twitter.com/VladimirBeliak,VladimirBeliak,Yesh_Atid,Center_Left
בן ברק רם, יש עתיד-תל”ם,https://twitter.com/Ram_Ben_Barak,Ram_Ben_Barak,Yesh_Atid,Center_Left
בנט נפתלי, ימינה,https://twitter.com/naftalibennett,naftalibennett,Yamina,Right
ברביבאי אורנה, יש עתיד-תל”ם,https://twitter.com/OrnaBarb,OrnaBarb,Yesh_Atid,Center_Left
ברוכי אליהו, דגל התורה,,,Yahadut_hatora,Ultra-orthodox
ברק קרן, הליכוד,https://twitter.com/kerenbarak,kerenbarak,Likud,Right
ברקת ניר, הליכוד,https://twitter.com/nirbarkat,nirbarkat,Likud,Right
ג`בארין יוסף, הרשימה המשותפת,https://twitter.com/DrJabareen,DrJabareen,Joint_List,Arabs
גולן יאיר, מרצ,https://twitter.com/YairGolan1,YairGolan1,Meretz,Center_Left
גולן מאי, הליכוד,https://twitter.com/GolanMay,GolanMay,Likud,Right
גילאון אילן, מרצ,https://twitter.com/mkgilon,mkgilon,Meretz,Center_Left
גינזבורג איתן, כחול לבן,https://twitter.com/eitanginzburg,eitanginzburg,Blue_and_White,Center_Left
גלנט יואב, הליכוד,https://twitter.com/yoavgallant,yoavgallant,Likud,Right
גמליאל גילה, הליכוד,https://twitter.com/GilaGamliel,GilaGamliel,Likud,Right
גנץ בני, כחול לבן,https://twitter.com/gantzbe,gantzbe,Blue_and_White,Center_Left
