,screen_name,mk
0,evgenysova,shahadehabou
1,bussouriel,shahadehabou
2,gilagamliel,shahadehabou
3,yairlapid,shahadehabou
4,kushnir_al,shahadehabou
5,elicoh1,shahadehabou
6,shlomo_karhi,shahadehabou
7,yuliamalinovsky,shahadehabou
8,haleviamit,shahadehabou
9,pnina_tamano_sh,shahadehabou
10,yairgolan1,shahadehabou
11,gantzbe,shahadehabou
12,dayanuzi,shahadehabou
13,matankahana,shahadehabou
14,mkorlyfroman,shahadehabou
15,mikihaimovich1,shahadehabou
16,gabi_ashkenazi,shahadehabou
17,btoporovsky,shahadehabou
18,cotlerwunsh,shahadehabou
19,andreykozhinov,shahadehabou
20,abutbulm,shahadehabou
21,sbyifat,shahadehabou
22,arielkallner,shahadehabou
23,ishmuli,shahadehabou
24,meravmichaeli,shahadehabou
25,avidareli,shahadehabou
26,yrazvozov,shahadehabou
27,kelharrar,shahadehabou
28,idanroll,shahadehabou
29,kerenbarak,shahadehabou
30,taliploskov,shahadehabou
31,yakmargi,shahadehabou
32,oded_forer,shahadehabou
33,ornabarb,shahadehabou
34,ettyatia,shahadehabou
35,ofirkatzmk,shahadehabou
36,ram_ben_barak,shahadehabou
37,shitrit_keti,shahadehabou
38,ysegalovitz,shahadehabou
39,osnathilamark,shahadehabou
40,gyevarkan,shahadehabou
41,zoharm7,shahadehabou
42,dudiamsalem,shahadehabou
43,steinitz_yuval,shahadehabou
44,davidbitan,shahadehabou
45,yoavkisch,shahadehabou
46,nirbarkat,shahadehabou
47,yoavgallant,shahadehabou
48,regev_miri,shahadehabou
49,israel_katz,shahadehabou
50,yuliedelstein,shahadehabou
51,orly_levy,shahadehabou
52,realrafiperets,shahadehabou
53,zvihauser,shahadehabou
54,yoazhendel1,shahadehabou
55,tehilafriedman,shahadehabou
56,yossitaieb,shahadehabou
57,yorailahav,shahadehabou
58,asafzamir,shahadehabou
59,mkgilon,shahadehabou
60,omeryankelevitc,shahadehabou
61,mkmickeylevy,shahadehabou
62,mksondos,shahadehabou
63,gadeermreeh,shahadehabou
64,mkmeircohen,shahadehabou
65,khatib_eman,shahadehabou
66,waleedt68,shahadehabou
67,osamasaadi63,shahadehabou
68,ofercass,shahadehabou
69,saeedalkhrumi,shahadehabou
70,mnsorabbas,shahadehabou
71,asaqla,shahadehabou
72,tamarzandberg,shahadehabou
73,nitzanhorowitz,shahadehabou
74,hebayazbak,shahadehabou
75,aidatuma,shahadehabou
76,drjabareen,shahadehabou
77,mtanesshihadeh,shahadehabou
78,ayodeh,shahadehabou
79,ahmad_tibi,shahadehabou
0,evgenysova,abutbulm
1,andreykozhinov,abutbulm
2,kushnir_al,abutbulm
3,tehilafriedman,abutbulm
4,gadeermreeh,abutbulm
5,mkorlyfroman,abutbulm
6,haleviamit,abutbulm
7,aidatuma,abutbulm
8,osnathilamark,abutbulm
9,arielkallner,abutbulm
10,avidareli,abutbulm
11,malkielim82,abutbulm
12,meravmichaeli,abutbulm
13,tzachi_hanegbi,abutbulm
14,mikihaimovich1,abutbulm
15,mkmeircohen,abutbulm
16,ayodeh,abutbulm
17,ettyatia,abutbulm
18,kerenbarak,abutbulm
19,ofirkatzmk,abutbulm
20,netanyahu,abutbulm
21,regev_miri,abutbulm
22,davidbitan,abutbulm
23,nirbarkat,abutbulm
24,yuliedelstein,abutbulm
25,avigdorliberman,abutbulm
26,zoharm7,abutbulm
27,yoavkisch,abutbulm
28,ishmuli,abutbulm
29,bogie_yaalon,abutbulm
30,ahmad_tibi,abutbulm
31,orly_levy,abutbulm
32,elicoh1,abutbulm
33,gilagamliel,abutbulm
34,realrafiperets,abutbulm
35,asafzamir,abutbulm
36,steinitz_yuval,abutbulm
37,ornabarb,abutbulm
38,zvihauser,abutbulm
39,shitrit_keti,abutbulm
40,yairgolan1,abutbulm
41,yoavgallant,abutbulm
42,eitanginzburg,abutbulm
43,ofir_sofer,abutbulm
44,matankahana,abutbulm
45,gyevarkan,abutbulm
46,shlomo_karhi,abutbulm
47,avidichter,abutbulm
48,oded_forer,abutbulm
49,sbyifat,abutbulm
50,pnina_tamano_sh,abutbulm
51,yossitaieb,abutbulm
52,izhars7,abutbulm
53,yoazhendel1,abutbulm
54,ayelet__shaked,abutbulm
55,israel_katz,abutbulm
56,yakmargi,abutbulm
57,gantzbe,abutbulm
58,omeryankelevitc,abutbulm
59,bussouriel,abutbulm
60,kelharrar,abutbulm
61,yairlapid,abutbulm
62,naftalibennett,abutbulm
63,gabi_ashkenazi,abutbulm
64,bezalelsm,abutbulm
65,dudiamsalem,abutbulm
0,avigdorliberman,avidareli
0,netanyahu,yuliedelstein
0,ayelet__shaked,yisraeleichler
1,netanyahu,yisraeleichler
0,btoporovsky,kelharrar
1,yorailahav,kelharrar
2,shlomo_karhi,kelharrar
3,vladimirbeliak,kelharrar
4,avidareli,kelharrar
5,yrazvozov,kelharrar
6,mkmickeylevy,kelharrar
7,gadeermreeh,kelharrar
8,oded_forer,kelharrar
9,idanroll,kelharrar
10,asafzamir,kelharrar
11,ysegalovitz,kelharrar
12,gabi_ashkenazi,kelharrar
13,yairgolan1,kelharrar
14,mikihaimovich1,kelharrar
15,gantzbe,kelharrar
16,ornabarb,kelharrar
17,mosheturpaz,kelharrar
18,pnina_tamano_sh,kelharrar
19,ram_ben_barak,kelharrar
20,nitzanhorowitz,kelharrar
21,ayoobkara,kelharrar
22,mkmeircohen,kelharrar
23,steinitz_yuval,kelharrar
24,gilagamliel,kelharrar
25,israel_katz,kelharrar
26,avidichter,kelharrar
27,elicoh1,kelharrar
28,ayodeh,kelharrar
29,orly_levy,kelharrar
30,elazar_stern,kelharrar
31,sbyifat,kelharrar
32,bogie_yaalon,kelharrar
33,ayelet__shaked,kelharrar
34,ofirakunis,kelharrar
35,aidatuma,kelharrar
36,davidbitan,kelharrar
37,meravmichaeli,kelharrar
38,ishmuli,kelharrar
39,zoharm7,kelharrar
40,dudiamsalem,kelharrar
41,mkgilon,kelharrar
42,yoavkisch,kelharrar
43,zvihauser,kelharrar
44,regev_miri,kelharrar
45,avigdorliberman,kelharrar
46,naftalibennett,kelharrar
47,ahmad_tibi,kelharrar
48,bezalelsm,kelharrar
49,yoazhendel1,kelharrar
50,yuliedelstein,kelharrar
51,netanyahu,kelharrar
52,yairlapid,kelharrar
0,drjabareen,saeedalkhrumi
1,waleedt68,saeedalkhrumi
2,gabi_ashkenazi,saeedalkhrumi
3,gantzbe,saeedalkhrumi
4,davidbitan,saeedalkhrumi
5,bezalelsm,saeedalkhrumi
6,ayoobkara,saeedalkhrumi
7,naftalibennett,saeedalkhrumi
8,yairlapid,saeedalkhrumi
9,avigdorliberman,saeedalkhrumi
10,dudiamsalem,saeedalkhrumi
11,yuliedelstein,saeedalkhrumi
12,ayodeh,saeedalkhrumi
13,mkgilon,saeedalkhrumi
14,netanyahu,saeedalkhrumi
15,regev_miri,saeedalkhrumi
16,nirbarkat,saeedalkhrumi
17,ayelet__shaked,saeedalkhrumi
18,bogie_yaalon,saeedalkhrumi
19,elicoh1,saeedalkhrumi
20,nitzanhorowitz,saeedalkhrumi
21,ahmad_tibi,saeedalkhrumi
22,meravmichaeli,saeedalkhrumi
23,kelharrar,saeedalkhrumi
24,tamarzandberg,saeedalkhrumi
25,zvihauser,saeedalkhrumi
26,ishmuli,saeedalkhrumi
0,realrafiperets,dudiamsalem
1,israel_katz,dudiamsalem
2,ofirkatzmk,dudiamsalem
3,kerenbarak,dudiamsalem
4,oded_forer,dudiamsalem
5,taliploskov,dudiamsalem
6,ayelet__shaked,dudiamsalem
7,orly_levy,dudiamsalem
8,steinitz_yuval,dudiamsalem
9,yoavgallant,dudiamsalem
10,ishmuli,dudiamsalem
